date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:28:21	305369/305369	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Apr%202021%2009:18:34%20GMT	https://imasdar.com/crd/eid/2/__bgs__/59_60846d39aadc2.jpg	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/__bgs__/59_60846d39aadc2.jpg	(from https://imasdar.com/crd/eid/2/)
21:28:22	309169/309169	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Apr%202021%2009:18:34%20GMT	https://imasdar.com/crd/eid/2/__bgs__/15_60846d39ab455.jpg	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/__bgs__/15_60846d39ab455.jpg	(from https://imasdar.com/crd/eid/2/)
21:28:22	293384/293384	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Apr%202021%2009:18:35%20GMT	https://imasdar.com/crd/eid/2/__bgs__/9_60846d0b7a250.jpg	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/__bgs__/9_60846d0b7a250.jpg	(from https://imasdar.com/crd/eid/2/)
21:28:22	22310/22310	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20May%202021%2018:28:23%20GMT	https://imasdar.com/crd/eid/2/?photo=50_60846d60bbf36.jpg&p=view	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/index5eab.html	(from https://imasdar.com/crd/eid/2/)
21:28:22	323262/323262	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Apr%202021%2009:18:34%20GMT	https://imasdar.com/crd/eid/2/__bgs__/47_60846d60bc434.jpg	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/__bgs__/47_60846d60bc434.jpg	(from https://imasdar.com/crd/eid/2/)
21:28:22	83292/83292	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Apr%202021%2009:18:34%20GMT	https://imasdar.com/crd/eid/2/__bgs__/91_60846d39abf16.jpg	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/__bgs__/91_60846d39abf16.jpg	(from https://imasdar.com/crd/eid/2/)
21:28:22	22308/22308	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20May%202021%2018:28:23%20GMT	https://imasdar.com/crd/eid/2/?photo=59_60846d39aadc2.jpg&p=view	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/index6432.html	(from https://imasdar.com/crd/eid/2/)
21:28:22	36463/36463	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Apr%202021%2009:18:34%20GMT	https://imasdar.com/crd/eid/2/__bgs__/48_60846d60bb925.jpg	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/__bgs__/48_60846d60bb925.jpg	(from https://imasdar.com/crd/eid/2/)
21:28:23	68255/68255	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Apr%202021%2009:18:34%20GMT	https://imasdar.com/crd/eid/2/__bgs__/36_60846d39ac01e.jpg	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/__bgs__/36_60846d39ac01e.jpg	(from https://imasdar.com/crd/eid/2/)
21:28:23	22304/22304	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20May%202021%2018:28:24%20GMT	https://imasdar.com/crd/eid/2/?photo=9_60846d0b7a250.jpg&p=view	C:/Users/im03th/Desktop/202020/11/imasdar.com/crd/eid/2/indexbe6d.html	(from https://imasdar.com/crd/eid/2/)
